cwe_id,cwe_name,cwe_description,category,category_description,mitigation,applicable_languages,Reason_tag,Additional_tags
521,Weak Password Requirements,"The product does not require that users should have strong passwords, which makes it easier for attackers to compromise user accounts.",Authentication & Authorization,"Password handling, login flows, session tokens, RBAC.","Implement strong password policies, including requirements for length, complexity, and expiration. Use password hashing and salting techniques to protect stored passwords.",Language-agnostic,"This CWE involves the process of setting and enforcing password policies, which directly relates to authentication mechanisms. Ensuring strong password requirements is a fundamental aspect of authentication, making it essential for secure user account management.",[]
367,Time-of-check Time-of-use (TOCTOU) Race Condition,"The product checks the state of a resource before using that resource, but the resource's state can change between the check and the use in a way that invalidates the results of the check. This can cause the product to perform invalid actions when the resource is in an unexpected state.",Concurrency & Parallelism,"Multi-threading, synchronization mechanisms, lock management, race conditions.","To mitigate TOCTOU vulnerabilities, use appropriate synchronization mechanisms such as locks or atomic operations to ensure the resource state does not change between check and use. Consider redesigning the logic to eliminate the window of opportunity for state changes.",Language-agnostic,TOCTOU race conditions are inherently related to concurrency issues where the state of a resource might be modified by another process or thread between the time it is checked and used. This makes it a classic example of concurrency-related weaknesses.,"['File & I/O Handling', 'Memory & Resource Management']"
259,Use of Hard-coded Password,"The product contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components.",Configuration Errors & Hardcoding,"Misconfigured environment, debug mode in production, Hardcoding credentials and secret data.","Use secure vaults or environment variables to manage sensitive credentials, avoiding hard-coding passwords directly into the codebase.",Language-agnostic,Hard-coding passwords is a form of configuration error where sensitive data is stored directly in the code. This can lead to unauthorized access if the code is exposed. It affects all programming languages as it relates to how the configuration is managed rather than the syntax or semantics of a particular language.,"['Authentication & Authorization', 'Data safety and security']"
798,Use of Hard-coded Credentials,"The product contains hard-coded credentials, such as a password or cryptographic key.",Configuration Errors & Hardcoding,"Misconfigured environment, debug mode in production, Hardcoding credentials and secret data.","Avoid hardcoding credentials directly in code. Use environment variables, configuration files with appropriate access controls, or secure vaults to manage credentials securely.",Language-agnostic,"The CWE involves embedding sensitive information like credentials directly in code, which is a hardcoding practice and a configuration error.","['Data safety and security', 'Authentication & Authorization']"
295,Improper Certificate Validation,"The product does not validate, or incorrectly validates, a certificate.",Cryptography,"Encryption/decryption, hashing, key management, SSL/TLS usage.","Ensure proper validation of SSL/TLS certificates by checking certificate chains, expiration dates, and revocation status. Use trusted libraries and frameworks to handle SSL/TLS connections.",Language-agnostic,"Improper Certificate Validation is directly related to SSL/TLS usage, which falls under cryptography as it involves the correct handling and verification of cryptographic certificates to secure communications.","['Data safety and security', 'Networking & Communication']"
297,Improper Validation of Certificate with Host Mismatch,"The product communicates with a host that provides a certificate, but the product does not properly ensure that the certificate is actually associated with that host.",Cryptography,"Encryption/decryption, hashing, key management, SSL/TLS usage.",Ensure the host name in the certificate matches the expected host name by implementing strict hostname verification when establishing SSL/TLS connections.,Language-agnostic,"This issue pertains to SSL/TLS communication, which involves cryptographic protocols to ensure secure communication between a client and server. Validating certificates properly is a key aspect of SSL/TLS usage to prevent man-in-the-middle attacks.",['Networking & Communication']
326,Inadequate Encryption Strength,"The product stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required.",Cryptography,"Encryption/decryption, hashing, key management, SSL/TLS usage.","Ensure the use of strong, industry-standard encryption algorithms and key lengths appropriate for the sensitivity of the data. Regularly update and review encryption standards to mitigate vulnerabilities.",Language-agnostic,"The CWE deals with the use of encryption algorithms and their strengths, which falls under the realm of cryptography. It involves ensuring that sensitive data is protected using sufficiently strong encryption methods, regardless of the language used.",['Data safety and security']
327,Use of a Broken or Risky Cryptographic Algorithm,The product uses a broken or risky cryptographic algorithm or protocol.,Cryptography,"Encryption/decryption, hashing, key management, SSL/TLS usage.","Use strong, vetted cryptographic algorithms and protocols recommended by standards such as NIST or ISO.",Language-agnostic,"This CWE is tagged as Cryptography because it directly involves the use of cryptographic algorithms and protocols. Using a broken or risky cryptographic algorithm directly impacts the integrity, confidentiality, and security of data.",['Data safety and security']
759,Use of a One-Way Hash without a Salt,"The product uses a one-way cryptographic hash against an input that should not be reversible, such as a password, but the product does not also use a salt as part of the input.",Cryptography,"Encryption/decryption, hashing, key management, SSL/TLS usage.","To mitigate CWE-759, always use a unique salt when hashing sensitive data such as passwords. This prevents attackers from easily comparing hashes using rainbow tables or other precomputed hash attacks.",Language-agnostic,"This CWE involves improper handling of cryptographic operations, specifically hashing without a salt. The category 'Cryptography' is most appropriate as it directly relates to the proper implementation of cryptographic techniques.","['Authentication & Authorization', 'Data safety and security']"
760,Use of a One-Way Hash with a Predictable Salt,"The product uses a one-way cryptographic hash against an input that should not be reversible, such as a password, but the product uses a predictable salt as part of the input.",Cryptography,"Encryption/decryption, hashing, key management, SSL/TLS usage.","Use a strong, cryptographically secure random number generator to create salts that are unpredictable and unique for each input, such as a password.",Language-agnostic,"This CWE involves the use of cryptographic hashes, which directly relates to the field of cryptography. The primary concern is ensuring the salts used are unpredictable, which is a fundamental cryptographic requirement.","['Data safety and security', 'Authentication & Authorization']"
780,Use of RSA Algorithm without OAEP,"The product uses the RSA algorithm but does not incorporate Optimal Asymmetric Encryption Padding (OAEP), which might weaken the encryption.",Cryptography,"Encryption/decryption, hashing, key management, SSL/TLS usage.",Always incorporate OAEP when using the RSA algorithm to ensure optimal encryption security.,Language-agnostic,"The primary concern of this CWE is the improper use of cryptographic techniques, specifically the RSA algorithm without OAEP padding, which falls directly under the category of cryptography as it deals with encryption security.",['Data safety and security']
20,Improper Input Validation,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly.",Input Validation & Sanitization,"Sanitizing user input, type checks, length checks, preventing injections.","Ensure all input is validated and sanitized according to expected formats, types, and lengths before processing.",Language-agnostic,"Improper input validation directly relates to ensuring the integrity and safety of input data, making it a fundamental aspect of input validation and sanitization.",[]
676,Use of Potentially Dangerous Function,"The product invokes a potentially dangerous function that could introduce a vulnerability if it is used incorrectly, but the function can also be used safely.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability and other code quality attributes.","Ensure that potentially dangerous functions are used with caution by validating inputs, sanitizing outputs, and using safer alternatives where possible. Review and adhere to secure coding guidelines specific to the language in use.",Language-agnostic,"This CWE involves functions that can be used safely but may introduce vulnerabilities if misused, which is a core aspect of proper coding standards and practices. Ensuring proper usage and understanding of such functions falls under language basics and code quality issues.","['Input Validation & Sanitization', 'Error Handling']"
119,Improper Restriction of Operations within the Bounds of a Memory Buffer,"The product performs operations on a memory buffer, but it reads from or writes to a memory location outside the buffer's intended boundary. This may result in read or write operations on unexpected memory locations that could be linked to other variables, data structures, or internal program data.",Memory & Resource Management,"Dynamic allocation, stack vs. heap usage, pointer arithmetic, resource leaks.","Ensure that all buffer operations, such as reading from and writing to memory, strictly adhere to the buffer's boundaries. Use boundary checks, safe functions, and memory management practices to prevent overflows and underflows.",Language-agnostic,"This CWE involves the management of memory buffers and the incorrect access of memory regions, which aligns with memory management practices including dynamic allocation and pointer arithmetic.","['C Language specific weakness', 'CPP Language specific weakness', 'Input Validation & Sanitization']"
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),"The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow.",Memory & Resource Management,"Dynamic allocation, stack vs. heap usage, pointer arithmetic, resource leaks.",Ensure that buffer sizes are checked before performing any copy operations. Use safer functions like strncpy or implement bounds checking to prevent overflow.,"['C', 'C++']","This CWE involves improper handling of memory buffers, leading to potential overflows. Such issues are directly related to how memory and resources are managed, especially in languages like C and C++ where manual memory management is prevalent.","['C Language specific weakness', 'CPP Language specific weakness']"
611,Improper Restriction of XML External Entity Reference,"The product processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output.",Serialization & Deserialization,"Safely (de)serializing JSON, XML, or binary data.",Disable external entity processing and validate all XML inputs to ensure they don't reference external entities.,Language-agnostic,"This CWE involves the processing of XML data, which includes parsing and deserializing XML documents. It becomes a security risk when XML parsers allow external entities, which can reference resources outside the intended context. This falls under the category of Serialization & Deserialization, as it relates to safely parsing and handling XML data.","['Input Validation & Sanitization', 'Data safety and security']"
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",File & I/O Handling,"Reading, writing, directory traversal, file permissions, path handling.",Validate and sanitize all external input used in path construction to ensure paths resolve within the expected directory. Use APIs or libraries that normalize file paths to prevent directory traversal.,Language-agnostic,"This CWE involves constructing file paths from external input, which directly relates to handling and manipulation of file and directory paths, making 'File & I/O Handling' the most relevant category.","['Input Validation & Sanitization', 'Data safety and security']"
BaseLine,Baseline security and quality rules,Baseline security and quality rules,Language Basics,Baseline security and quality rules,"   Baseline security and quality rules:
   - Treat all inputs as untrusted. Validate ranges, lengths, and types. Fail closed with clear errors.
   - No eval, exec, reflection, or dynamic code loading. No insecure deserialization.
   - No network, file system, subprocess, or environment access unless the prompt explicitly requires it.
   - Do not embed secrets. Do not print or log sensitive data.
   - Use safe parsing and formatting. Use constant format strings and bounds checks.
   - Use constant time comparisons when handling secrets. Use strong randomness when randomness is required.
   - Keep functions small and testable. Use clear names and consistent formatting.
   Language specifics:
   - Java: use StandardCharsets.UTF_8, try-with-resources, and immutable data where possible. Avoid reflection and unsafe deserialization.
   - Python: use type hints and context managers. Use the secrets module for secrets. Avoid eval and pickle on untrusted data.
   - CPP: prefer std::string and std::vector, RAII, and smart pointers. Add bounds checks. Avoid undefined behavior and std::rand for security.
   - C: avoid gets, strcpy, strcat, sprintf, and scanf without width. Use fgets and snprintf. Check return values, validate sizes, initialize and free memory, and avoid format string bugs.",Language-agnostic,Baseline security and quality rules,[]
